label1,user_id,record_date,power_consumption,Month,one,two,three,four,label
1,1416,2015/1/1,818609,1,1579066.978,2054469.122,2107185.278,1027747.744,class-plant
5,175,2015/1/1,192521,1,683759.6111,908339.7222,1028837.7,421203.6556,class-plant
2,174,2015/1/1,343742,1,550329.8,745099.8889,852176.7667,340582.6444,class-plant
6,90,2015/1/1,81187,1,199303.3444,306503.7222,307775.8889,192768.3222,class-plant
9,1262,2015/1/1,326371,1,188909.0667,253273.7444,108799.0111,56611.55556,class-plant
3,129,2015/1/1,63709,1,136077.4778,142303.5889,183222.3444,107825.3444,class-plant
7,1307,2015/1/1,36323,1,62914.78889,166096.4667,133447.5,46905.38889,class-plant
7,1310,2015/1/1,36323,1,62914.78889,166096.4667,133447.5,46905.38889,class-plant
8,275,2015/1/1,34152,1,42630.95556,43042.7,78800.97778,26412.91111,class-plant
8,1124,2015/1/1,36995,1,39853.52222,53911.95556,58927.65556,21034.48889,class-plant
8,1070,2015/1/1,20940,1,36302.98889,39672.55556,44127.62222,21186.68889,class-plant
8,743,2015/1/1,15709,1,36040.15556,53680.95556,54908.06667,26878.68889,class-plant
8,1139,2015/1/1,4633,1,35356.14444,50832.22222,44386.2,20664.82222,class-plant
8,1112,2015/1/1,7624,1,34368.44444,38328.0,49985.84444,22679.03333,class-plant
8,1414,2015/1/1,20021,1,32167.62222,26059.82222,38396.93333,12191.45556,class-plant
8,1165,2015/1/1,16681,1,29109.34444,40043.92222,39767.51111,18945.36667,class-plant
8,1346,2015/1/1,12245,1,28849.18889,35242.61111,39981.03333,16619.16667,class-plant
8,1385,2015/1/1,6795,1,28450.98889,46961.96667,45161.78889,19049.06667,class-plant
8,1146,2015/1/1,17567,1,25971.73333,33274.64444,37237.6,16328.01111,class-plant
8,759,2015/1/1,1433,1,25683.73333,27809.36667,14636.31111,11319.6,class-plant
8,1181,2015/1/1,5413,1,25353.22222,47148.63333,50537.86667,20944.32222,class-plant
8,278,2015/1/1,16052,1,23969.85556,20287.97778,25727.52222,11348.33333,class-plant
8,1033,2015/1/1,7416,1,21532.88889,24563.43333,22352.68889,9329.911111,class-plant
8,77,2015/1/1,1962,1,21118.6,29422.62222,29571.61111,13224.3,class-plant
8,1058,2015/1/1,1539,1,20898.23333,26889.07778,11810.55556,6565.233333,class-plant
8,1197,2015/1/1,178,1,20683.67778,33966.12222,33107.31111,14546.66667,class-plant
8,274,2015/1/1,11704,1,20153.85556,20106.18889,32769.87778,9670.4,class-plant
8,1398,2015/1/1,17149,1,20093.98889,10402.52222,12076.51111,10484.16667,class-plant
8,86,2015/1/1,18331,1,19329.45556,13962.32222,25503.65556,13477.91111,class-plant
8,947,2015/1/1,757,1,18716.9,22857.93333,24070.81111,10865.98889,class-plant
8,291,2015/1/1,14600,1,18617.54444,17652.32222,28647.75556,9422.544444,class-plant
8,138,2015/1/1,5914,1,18422.81111,22095.57778,24393.12222,10578.41111,class-plant
8,149,2015/1/1,282,1,17216.68889,22549.01111,26241.16667,13996.77778,class-plant
8,514,2015/1/1,1,1,16708.77778,20440.1,30062.64444,18151.6,class-plant
8,1350,2015/1/1,515,1,15966.11111,17359.82222,7177.811111,18615.55556,class-plant
8,966,2015/1/1,9241,1,15452.26667,26447.23333,26013.01111,11814.27778,class-plant
8,722,2015/1/1,12794,1,15158.9,19014.63333,32044.47778,10844.34444,class-plant
8,1208,2015/1/1,3276,1,15107.11111,16311.06667,17170.8,9331.355556,class-plant
8,1415,2015/1/1,2661,1,14591.68889,20229.34444,19223.35556,9918.088889,class-plant
8,287,2015/1/1,9628,1,14324.37778,15487.86667,19572.5,7654.666667,class-plant
8,1134,2015/1/1,242,1,13856.1,24781.55556,15792.07778,10405.77778,class-plant
8,47,2015/1/1,2256,1,13267.8,17181.27778,16646.92222,8142.888889,class-plant
8,742,2015/1/1,4313,1,13048.03333,10697.34444,13121.13333,4980.344444,class-plant
8,941,2015/1/1,310,1,12448.24444,17562.62222,19266.6,9610.044444,class-plant
8,261,2015/1/1,8934,1,12300.77778,12260.97778,17720.15556,6036.544444,class-plant
8,1213,2015/1/1,7435,1,12275.92222,21580.8,18030.0,9457.977778,class-plant
8,1090,2015/1/1,4201,1,12214.04444,17315.87778,18319.61111,8103.266667,class-plant
8,1161,2015/1/1,118,1,11917.58889,11012.65556,2562.822222,1114.388889,class-plant
8,1352,2015/1/1,4895,1,11617.15556,9385.788889,21317.48889,5496.188889,class-plant
8,951,2015/1/1,10331,1,11447.74444,12018.84444,5699.588889,6032.077778,class-plant
8,38,2015/1/1,8117,1,11369.18889,18605.8,12224.13333,7396.366667,class-plant
8,1339,2015/1/1,6624,1,11044.6,12054.8,18045.06667,3990.366667,class-plant
8,705,2015/1/1,5815,1,10979.01111,7520.977778,9719.666667,3107.0,class-plant
8,140,2015/1/1,2357,1,10730.47778,15595.24444,15633.68889,7077.788889,class-plant
8,1209,2015/1/1,8957,1,10654.26667,10623.54444,18632.68889,6584.322222,class-plant
8,1368,2015/1/1,7131,1,10587.08889,13665.07778,22421.65556,7922.5,class-plant
8,308,2015/1/1,2157,1,10512.28889,8120.533333,6431.911111,3872.033333,class-plant
